,x,y
0,1280,286
1,713,228
2,708,239
3,-1,-1
4,-1,-1
5,-1,-1
6,-1,-1
7,-1,-1
8,-1,-1
9,-1,-1
10,-1,-1
11,-1,-1
12,-1,-1
13,-1,-1
14,-1,-1
15,-1,-1
16,-1,-1
17,-1,-1
18,-1,-1
19,-1,-1
20,-1,-1
21,-1,-1
22,-1,-1
23,-1,-1
24,-1,-1
25,-1,-1
26,-1,-1
27,-1,-1
28,-1,-1
29,-1,-1
30,-1,-1
31,-1,-1
32,-1,-1
33,-1,-1
34,-1,-1
35,-1,-1
36,-1,-1
37,-1,-1
38,-1,-1
39,-1,-1
40,-1,-1
41,-1,-1
42,-1,-1
43,-1,-1
44,-1,-1
45,-1,-1
46,-1,-1
47,-1,-1
48,-1,-1
49,-1,-1
50,-1,-1
51,-1,-1
52,-1,-1
53,-1,-1
54,-1,-1
55,-1,-1
56,-1,-1
57,-1,-1
58,-1,-1
59,-1,-1
60,-1,-1
61,-1,-1
62,-1,-1
63,-1,-1
64,-1,-1
65,-1,-1
66,-1,-1
67,-1,-1
68,-1,-1
69,-1,-1
70,-1,-1
71,-1,-1
72,-1,-1
73,-1,-1
74,-1,-1
75,-1,-1
76,-1,-1
77,-1,-1
78,-1,-1
79,-1,-1
80,-1,-1
81,-1,-1
82,-1,-1
83,-1,-1
84,-1,-1
85,-1,-1
86,-1,-1
87,-1,-1
88,-1,-1
89,-1,-1
90,-1,-1
91,-1,-1
92,-1,-1
93,-1,-1
94,-1,-1
95,-1,-1
96,-1,-1
97,-1,-1
98,-1,-1
99,-1,-1
100,-1,-1
101,-1,-1
102,-1,-1
103,-1,-1
104,-1,-1
105,-1,-1
106,-1,-1
107,-1,-1
108,-1,-1
109,-1,-1
110,-1,-1
111,-1,-1
112,-1,-1
113,-1,-1
114,-1,-1
115,-1,-1
116,-1,-1
117,-1,-1
118,-1,-1
119,-1,-1
120,-1,-1
121,-1,-1
122,-1,-1
123,-1,-1
124,-1,-1
125,-1,-1
126,-1,-1
127,-1,-1
128,-1,-1
129,-1,-1
130,-1,-1
131,-1,-1
132,-1,-1
133,-1,-1
134,-1,-1
135,-1,-1
136,-1,-1
137,-1,-1
138,-1,-1
139,-1,-1
140,-1,-1
141,-1,-1
142,-1,-1
143,-1,-1
144,-1,-1
145,-1,-1
146,-1,-1
147,-1,-1
148,-1,-1
149,-1,-1
150,-1,-1
151,-1,-1
152,-1,-1
153,-1,-1
154,-1,-1
155,-1,-1
156,680,118
157,687,136
158,690,140
159,696,149
160,696,149
161,696,149
162,696,149
163,699,155
164,700,157
165,700,157
166,701,161
167,704,168
168,704,174
169,704,179
170,705,182
171,707,187
172,709,192
173,711,195
174,712,198
175,715,203
176,719,214
177,719,218
178,719,218
179,719,220
180,719,222
181,720,229
182,720,229
183,721,231
184,721,233
185,725,241
186,725,245
187,725,245
188,734,262
189,734,265
190,734,268
191,735,272
192,736,274
193,738,281
194,739,284
195,742,296
196,742,298
197,744,301
198,745,305
199,746,309
200,746,311
201,748,315
202,748,318
203,749,323
204,750,330
205,752,340
206,753,341
207,754,344
208,756,349
209,761,357
210,762,358
211,764,363
212,765,367
213,765,370
214,765,372
215,765,372
216,767,375
217,768,378
218,771,387
219,773,394
220,774,401
221,774,403
222,775,406
223,779,417
224,780,423
225,780,424
226,780,424
227,784,427
228,785,433
229,787,435
230,787,435
231,788,437
232,791,439
233,792,439
234,794,444
235,794,451
236,794,452
237,795,452
238,797,459
239,798,472
240,800,481
241,801,484
242,801,491
243,804,498
244,806,500
245,806,501
246,811,504
247,814,516
248,815,522
249,820,532
250,820,532
251,825,540
252,828,548
253,828,550
254,828,554
255,827,563
256,827,563
257,829,572
258,831,578
259,832,582
260,833,585
261,834,587
262,836,591
263,839,597
264,840,599
265,840,603
266,841,607
267,843,608
268,844,611
269,845,612
270,846,623
271,846,626
272,847,630
273,849,632
274,850,638
275,851,639
276,852,644
277,854,649
278,856,659
279,858,665
280,859,669
281,860,671
282,859,665
283,860,663
284,863,656
285,865,651
286,865,651
287,865,643
288,865,642
289,866,639
290,867,636
291,871,629
292,871,626
293,871,623
294,872,622
295,873,617
296,875,615
297,875,613
298,875,613
299,875,611
300,875,610
301,875,610
302,876,606
303,878,600
304,878,600
305,878,600
306,878,596
307,878,594
308,879,591
309,880,590
310,880,587
311,881,583
312,881,581
313,881,581
314,884,573
315,884,573
316,884,573
317,884,573
318,884,572
319,884,571
320,884,571
321,885,564
322,886,558
323,886,558
324,887,557
325,887,557
326,891,551
327,891,551
328,891,550
329,893,548
330,894,546
331,897,542
332,898,542
333,898,542
334,898,542
335,903,536
336,904,534
337,904,533
338,905,531
339,906,529
340,906,527
341,908,522
342,909,521
343,912,517
344,913,517
345,913,517
346,913,515
347,913,514
348,913,514
349,913,512
350,913,512
351,913,511
352,913,508
353,914,506
354,914,505
355,914,505
356,917,501
357,917,499
358,917,498
359,917,498
360,917,491
361,918,491
362,918,491
363,919,489
364,919,488
365,920,487
366,921,487
367,921,486
368,924,482
369,927,479
370,928,478
371,928,478
372,928,476
373,929,473
374,932,470
375,932,469
376,934,465
377,935,463
378,935,462
379,936,461
380,937,457
381,937,457
382,937,456
383,938,455
384,938,454
385,939,452
386,939,452
387,939,452
388,940,446
389,941,444
390,941,444
391,941,444
392,947,440
393,947,439
394,948,437
395,949,436
396,950,434
397,950,433
398,950,432
399,950,432
400,950,432
401,950,430
402,950,423
403,951,423
404,955,417
405,956,417
406,956,417
407,957,416
408,961,412
409,961,412
410,961,412
411,962,412
412,965,407
413,965,407
414,965,407
415,965,407
416,965,407
417,965,405
418,965,405
419,965,405
420,966,401
421,966,401
422,966,401
423,966,401
424,968,399
425,968,398
426,968,396
427,969,396
428,970,393
429,971,393
430,971,392
431,971,390
432,972,387
433,973,386
434,973,386
435,973,386
436,975,384
437,976,383
438,977,382
439,977,382
440,979,379
441,979,379
442,979,378
443,979,378
444,981,374
445,981,373
446,982,372
447,983,371
448,984,370
449,984,368
450,986,367
451,986,366
452,986,365
453,986,365
454,987,364
455,987,364
456,988,361
457,988,361
458,988,360
459,988,357
460,989,355
461,991,353
462,991,353
463,993,352
464,999,350
465,999,350
466,999,350
467,999,350
468,999,349
469,999,348
470,999,348
471,999,348
472,999,348
473,1000,348
474,1000,347
475,1002,347
476,1004,346
477,1004,346
478,1004,346
479,1004,344
480,1005,343
481,1005,343
482,1005,343
483,1006,342
484,1007,340
485,1007,340
486,1008,339
487,1009,339
488,1009,337
489,1010,336
490,1011,329
491,1011,329
492,1016,329
493,1016,329
494,1016,329
495,1016,329
496,1016,329
497,1016,329
498,1009,331
499,982,336
500,982,337
501,981,343
502,977,348
503,975,349
504,964,355
