,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,x,y
0,0.0,0.0,0.0,1280,286
1,1.0,1.0,1.0,713,228
2,2.0,2.0,2.0,708,239
3,3.0,3.0,3.0,-1,-1
4,4.0,4.0,4.0,-1,-1
5,5.0,5.0,5.0,-1,-1
6,6.0,6.0,6.0,-1,-1
7,7.0,7.0,7.0,-1,-1
8,8.0,8.0,8.0,-1,-1
9,9.0,9.0,9.0,-1,-1
10,10.0,10.0,10.0,-1,-1
11,11.0,11.0,11.0,-1,-1
12,12.0,12.0,12.0,-1,-1
13,13.0,13.0,13.0,-1,-1
14,14.0,14.0,14.0,-1,-1
15,15.0,15.0,15.0,-1,-1
16,16.0,16.0,16.0,-1,-1
17,17.0,17.0,17.0,-1,-1
18,18.0,18.0,18.0,-1,-1
19,19.0,19.0,19.0,-1,-1
20,20.0,20.0,20.0,-1,-1
21,21.0,21.0,21.0,-1,-1
22,22.0,22.0,22.0,-1,-1
23,23.0,23.0,23.0,-1,-1
24,24.0,24.0,24.0,-1,-1
25,25.0,25.0,25.0,-1,-1
26,26.0,26.0,26.0,-1,-1
27,27.0,27.0,27.0,-1,-1
28,28.0,28.0,28.0,-1,-1
29,29.0,29.0,29.0,-1,-1
30,30.0,30.0,30.0,-1,-1
31,31.0,31.0,31.0,-1,-1
32,32.0,32.0,32.0,-1,-1
33,33.0,33.0,33.0,-1,-1
34,34.0,34.0,34.0,-1,-1
35,35.0,35.0,35.0,-1,-1
36,36.0,36.0,36.0,-1,-1
37,37.0,37.0,37.0,-1,-1
38,38.0,38.0,38.0,-1,-1
39,39.0,39.0,39.0,-1,-1
40,40.0,40.0,40.0,-1,-1
41,41.0,41.0,41.0,-1,-1
42,42.0,42.0,42.0,-1,-1
43,43.0,43.0,43.0,-1,-1
44,44.0,44.0,44.0,-1,-1
45,45.0,45.0,45.0,-1,-1
46,46.0,46.0,46.0,-1,-1
47,47.0,47.0,47.0,-1,-1
48,48.0,48.0,48.0,-1,-1
49,49.0,49.0,49.0,-1,-1
50,50.0,50.0,50.0,-1,-1
51,51.0,51.0,51.0,-1,-1
52,52.0,52.0,52.0,-1,-1
53,53.0,53.0,53.0,-1,-1
54,54.0,54.0,54.0,-1,-1
55,55.0,55.0,55.0,-1,-1
56,56.0,56.0,56.0,-1,-1
57,57.0,57.0,57.0,-1,-1
58,58.0,58.0,58.0,-1,-1
59,59.0,59.0,59.0,-1,-1
60,60.0,60.0,60.0,-1,-1
61,61.0,61.0,61.0,-1,-1
62,62.0,62.0,62.0,-1,-1
63,63.0,63.0,63.0,-1,-1
64,64.0,64.0,64.0,-1,-1
65,65.0,65.0,65.0,-1,-1
66,66.0,66.0,66.0,-1,-1
67,67.0,67.0,67.0,-1,-1
68,68.0,68.0,68.0,-1,-1
69,69.0,69.0,69.0,-1,-1
70,70.0,70.0,70.0,-1,-1
71,71.0,71.0,71.0,-1,-1
72,72.0,72.0,72.0,-1,-1
73,73.0,73.0,73.0,-1,-1
74,74.0,74.0,74.0,-1,-1
75,75.0,75.0,75.0,-1,-1
76,76.0,76.0,76.0,-1,-1
77,77.0,77.0,77.0,-1,-1
78,78.0,78.0,78.0,-1,-1
79,79.0,79.0,79.0,-1,-1
80,80.0,80.0,80.0,-1,-1
81,81.0,81.0,81.0,-1,-1
82,82.0,82.0,82.0,-1,-1
83,83.0,83.0,83.0,-1,-1
84,84.0,84.0,84.0,-1,-1
85,85.0,85.0,85.0,-1,-1
86,86.0,86.0,86.0,-1,-1
87,87.0,87.0,87.0,-1,-1
88,88.0,88.0,88.0,-1,-1
