,Unnamed: 0,x,y
0,0.0,623,0
1,1.0,634,145
2,2.0,633,146
3,3.0,633,146
4,4.0,631,152
5,5.0,630,158
6,6.0,629,162
7,7.0,629,166
8,8.0,628,169
9,9.0,628,173
10,10.0,627,179
11,11.0,626,183
12,12.0,626,187
13,13.0,626,193
14,14.0,625,199
15,15.0,623,209
16,16.0,622,217
17,17.0,621,222
18,18.0,621,222
19,19.0,621,223
20,20.0,621,223
21,21.0,621,223
22,22.0,621,223
23,23.0,621,225
24,24.0,621,228
25,25.0,620,234
26,26.0,620,240
27,27.0,620,244
28,28.0,620,246
29,29.0,620,247
30,30.0,620,249
31,31.0,620,252
32,32.0,620,254
33,33.0,620,256
34,34.0,620,258
35,35.0,621,263
36,36.0,621,265
37,37.0,621,270
38,38.0,622,277
39,39.0,622,279
40,40.0,622,285
41,41.0,622,292
42,42.0,621,296
43,43.0,621,299
44,44.0,621,299
45,45.0,620,310
46,46.0,619,319
47,47.0,619,320
48,48.0,619,321
49,49.0,619,323
50,50.0,618,328
51,51.0,617,339
52,52.0,617,345
53,53.0,615,356
54,54.0,614,361
55,55.0,614,362
56,56.0,614,363
57,57.0,614,363
58,58.0,614,363
59,59.0,613,364
60,60.0,613,369
61,61.0,612,377
62,62.0,612,384
63,63.0,612,386
64,64.0,612,387
65,65.0,612,391
66,66.0,612,396
67,67.0,611,402
68,68.0,611,405
69,69.0,611,406
70,70.0,611,407
71,71.0,611,408
72,72.0,611,408
73,73.0,611,408
74,74.0,611,409
75,75.0,611,410
76,76.0,610,414
77,77.0,610,420
78,78.0,610,423
79,79.0,610,428
80,80.0,610,435
81,81.0,610,440
82,82.0,609,446
83,83.0,609,452
84,84.0,609,457
85,85.0,609,461
86,86.0,609,465
87,87.0,609,469
88,88.0,610,471
89,89.0,610,473
90,90.0,610,476
91,91.0,610,479
92,92.0,609,485
93,93.0,608,490
94,94.0,607,495
95,95.0,607,497
96,96.0,606,499
97,97.0,606,502
98,98.0,606,505
99,99.0,605,511
100,100.0,604,516
101,101.0,604,519
102,102.0,604,521
103,103.0,603,525
104,104.0,603,529
105,105.0,602,533
106,106.0,601,537
107,107.0,601,539
108,108.0,601,541
109,109.0,601,541
110,110.0,600,544
111,111.0,600,548
112,112.0,600,554
113,113.0,600,558
114,114.0,600,558
115,115.0,600,559
116,116.0,600,561
117,117.0,600,563
118,118.0,600,563
119,119.0,600,563
120,120.0,603,565
121,121.0,619,572
122,122.0,632,574
123,123.0,633,574
124,124.0,641,577
125,125.0,653,581
126,126.0,658,582
127,127.0,658,582
128,128.0,663,584
129,129.0,681,592
130,130.0,685,593
131,131.0,685,594
132,132.0,693,598
133,133.0,699,602
134,134.0,700,602
135,135.0,704,605
136,136.0,707,607
137,137.0,725,618
138,138.0,742,626
139,139.0,743,626
140,140.0,744,628
141,141.0,744,628
142,142.0,743,628
143,143.0,739,629
144,144.0,732,631
145,145.0,727,633
146,146.0,726,635
147,147.0,723,641
148,148.0,722,643
149,149.0,719,647
150,150.0,711,651
151,151.0,702,654
152,152.0,696,657
153,153.0,691,658
154,154.0,682,662
155,155.0,672,665
156,156.0,663,667
157,157.0,656,669
158,158.0,649,672
159,159.0,640,675
160,160.0,631,678
161,161.0,629,679
162,162.0,624,682
163,163.0,613,692
164,164.0,607,696
165,165.0,607,696
166,166.0,607,696
167,167.0,607,696
168,168.0,607,696
169,169.0,606,697
170,170.0,605,697
171,171.0,604,697
172,172.0,602,697
173,173.0,599,697
174,174.0,592,699
175,175.0,583,702
176,176.0,581,702
177,177.0,580,700
178,178.0,577,698
179,179.0,572,694
180,180.0,569,692
181,181.0,566,689
182,182.0,565,689
183,183.0,564,688
184,184.0,562,688
185,185.0,560,687
186,186.0,559,687
187,187.0,557,687
188,188.0,554,686
189,189.0,551,685
190,190.0,549,684
191,191.0,546,683
192,192.0,543,682
193,193.0,542,681
194,194.0,539,680
195,195.0,536,678
196,196.0,532,676
197,197.0,524,676
198,198.0,523,676
199,199.0,523,676
200,200.0,523,676
201,201.0,522,675
202,202.0,520,674
203,203.0,518,673
204,204.0,516,672
205,205.0,514,670
206,206.0,512,669
207,207.0,510,667
208,208.0,505,665
209,209.0,502,664
210,210.0,500,663
211,211.0,499,662
212,212.0,494,661
213,213.0,491,659
214,214.0,488,658
215,215.0,484,657
216,216.0,476,656
217,217.0,473,655
218,218.0,470,654
219,219.0,467,653
220,220.0,462,652
221,221.0,457,651
222,222.0,455,650
223,223.0,454,650
224,224.0,449,649
225,225.0,448,648
226,226.0,448,648
227,227.0,447,648
228,228.0,444,646
229,229.0,441,644
230,230.0,440,644
231,231.0,438,643
232,232.0,434,641
233,233.0,432,640
234,234.0,429,639
235,235.0,426,638
236,236.0,423,636
237,237.0,420,635
238,238.0,416,633
239,239.0,414,632
240,240.0,413,631
241,241.0,410,629
242,242.0,410,629
243,243.0,410,629
244,244.0,410,629
245,245.0,410,629
246,246.0,410,629
247,247.0,410,629
248,248.0,411,628
249,249.0,411,628
250,250.0,412,627
251,251.0,421,627
252,252.0,429,627
253,253.0,432,628
254,254.0,440,628
255,255.0,451,628
256,256.0,467,629
257,257.0,481,630
258,258.0,489,629
259,259.0,496,627
260,260.0,498,625
261,261.0,498,624
262,262.0,502,621
263,263.0,506,617
264,264.0,509,614
265,265.0,511,612
266,266.0,517,610
267,267.0,524,608
268,268.0,530,606
269,269.0,538,605
270,270.0,542,603
271,271.0,548,603
272,272.0,556,602
273,273.0,558,602
274,274.0,561,601
275,275.0,567,600
276,276.0,572,598
277,277.0,578,596
278,278.0,584,595
279,279.0,589,595
280,280.0,597,593
281,281.0,605,591
282,282.0,614,590
283,283.0,621,589
284,284.0,624,589
285,285.0,633,589
286,286.0,639,587
287,287.0,645,587
288,288.0,649,587
289,289.0,653,586
290,290.0,662,585
291,291.0,665,584
292,292.0,668,584
293,293.0,671,583
294,294.0,673,582
295,295.0,676,581
296,296.0,678,580
297,297.0,683,579
298,298.0,690,577
299,299.0,696,576
300,300.0,700,576
301,301.0,706,575
302,302.0,714,575
303,303.0,716,574
304,304.0,716,574
305,305.0,716,574
306,306.0,718,574
307,307.0,719,573
308,308.0,719,573
309,309.0,714,572
310,310.0,695,572
311,311.0,681,572
312,312.0,675,571
313,313.0,670,571
314,314.0,665,571
315,315.0,658,572
316,316.0,650,572
317,317.0,641,572
318,318.0,631,572
319,319.0,623,573
320,320.0,612,573
321,321.0,606,573
322,322.0,596,573
323,323.0,588,573
324,324.0,582,573
325,325.0,576,573
326,326.0,570,572
327,327.0,565,572
328,328.0,560,572
329,329.0,555,571
330,330.0,552,571
331,331.0,549,570
332,332.0,545,570
333,333.0,544,570
334,334.0,540,570
335,335.0,537,570
336,336.0,530,571
337,337.0,525,571
338,338.0,522,570
339,339.0,516,570
340,340.0,511,569
341,341.0,508,569
342,342.0,500,568
343,343.0,494,568
344,344.0,490,568
345,345.0,487,569
346,346.0,480,570
347,347.0,472,571
348,348.0,463,573
349,349.0,460,573
350,350.0,452,573
351,351.0,445,573
352,352.0,438,573
353,353.0,437,573
354,354.0,430,573
355,355.0,423,573
356,356.0,423,573
357,357.0,422,572
358,358.0,422,572
359,359.0,422,572
360,360.0,425,572
361,361.0,430,572
362,362.0,431,572
363,363.0,431,572
364,364.0,432,572
365,365.0,438,573
366,366.0,451,575
367,367.0,456,575
368,368.0,469,577
369,369.0,481,578
370,370.0,489,578
371,371.0,499,579
372,372.0,512,579
373,373.0,518,579
374,374.0,518,579
375,375.0,518,579
376,376.0,518,579
377,377.0,519,578
378,378.0,521,577
379,379.0,522,576
380,380.0,528,575
381,381.0,532,574
382,382.0,540,574
383,383.0,543,574
384,384.0,548,574
385,385.0,556,574
386,386.0,563,574
387,387.0,573,574
388,388.0,580,575
389,389.0,580,575
390,390.0,585,575
391,391.0,588,576
392,392.0,592,576
393,393.0,596,576
394,394.0,599,576
395,395.0,605,576
396,396.0,610,576
397,397.0,615,576
398,398.0,619,576
399,399.0,626,576
400,400.0,631,576
401,401.0,634,576
402,402.0,638,576
403,403.0,642,576
404,404.0,646,577
405,405.0,652,577
406,406.0,658,578
407,407.0,664,578
408,408.0,671,579
409,409.0,679,579
410,410.0,680,579
411,411.0,683,580
412,412.0,684,580
413,413.0,686,580
414,414.0,692,580
415,415.0,692,580
416,416.0,692,580
417,417.0,692,580
418,418.0,692,580
419,419.0,692,580
420,420.0,688,578
421,421.0,678,575
422,422.0,670,573
423,423.0,660,572
424,424.0,654,572
425,425.0,648,572
426,426.0,636,575
427,427.0,630,576
428,428.0,618,579
429,429.0,603,583
430,430.0,592,584
431,431.0,579,587
432,432.0,576,587
433,433.0,572,587
434,434.0,568,587
435,435.0,566,586
436,436.0,561,586
437,437.0,557,586
438,438.0,554,586
439,439.0,550,586
440,440.0,545,586
441,441.0,541,586
442,442.0,534,586
443,443.0,530,586
444,444.0,526,586
445,445.0,517,587
446,446.0,508,588
447,447.0,501,589
448,448.0,495,589
449,449.0,488,589
450,450.0,479,589
451,451.0,472,590
452,452.0,467,591
453,453.0,464,592
454,454.0,455,593
455,455.0,448,594
456,456.0,443,595
457,457.0,432,597
458,458.0,428,598
459,459.0,421,598
460,460.0,417,598
461,461.0,417,598
462,462.0,417,598
463,463.0,417,598
464,464.0,417,598
465,465.0,417,598
466,466.0,417,598
467,467.0,413,599
468,468.0,405,601
469,469.0,401,600
470,470.0,401,600
471,471.0,401,600
472,472.0,401,600
473,473.0,401,600
474,474.0,401,601
475,475.0,410,603
476,476.0,422,605
477,477.0,432,606
478,478.0,443,606
479,479.0,447,607
480,480.0,453,607
481,481.0,453,607
482,482.0,453,607
483,483.0,459,608
484,484.0,460,609
485,485.0,462,609
486,486.0,466,610
487,487.0,472,612
488,488.0,481,614
489,489.0,481,615
490,490.0,486,616
491,491.0,490,617
492,492.0,491,618
493,493.0,495,618
494,494.0,500,620
495,495.0,505,623
496,496.0,505,624
497,497.0,506,624
498,498.0,507,625
499,499.0,509,627
500,500.0,511,628
501,501.0,512,629
502,502.0,514,630
503,503.0,515,630
504,504.0,517,631
505,505.0,519,632
506,506.0,520,632
507,507.0,524,633
508,508.0,527,634
509,509.0,530,635
510,510.0,534,636
511,511.0,534,636
512,512.0,537,637
513,513.0,542,638
514,514.0,547,639
515,515.0,549,639
516,516.0,551,640
517,517.0,558,642
518,518.0,558,642
519,519.0,559,642
520,520.0,559,642
521,521.0,559,642
522,522.0,558,643
523,523.0,558,643
524,524.0,559,644
525,525.0,567,648
526,526.0,572,651
527,527.0,574,652
528,528.0,576,654
529,529.0,582,657
530,530.0,587,661
531,531.0,592,663
532,532.0,596,664
533,533.0,596,664
534,534.0,597,664
