,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,433.0,14.0
44,193.0,19.0
45,193.0,20.0
46,193.0,20.0
47,193.0,20.0
48,193.0,20.0
49,193.0,20.0
50,193.0,20.0
51,193.0,20.0
52,193.0,20.0
53,193.0,31.0
54,193.0,50.0
55,197.0,64.0
56,199.0,69.0
57,199.0,69.0
58,199.0,69.0
59,199.0,69.0
60,199.0,69.0
61,199.0,69.0
62,199.0,69.0
63,199.0,69.0
64,199.0,69.0
65,199.0,69.0
66,199.0,69.0
67,199.0,69.0
68,199.0,69.0
69,199.0,69.0
70,199.0,69.0
71,199.0,69.0
72,199.0,69.0
73,199.0,69.0
74,199.0,69.0
75,199.0,69.0
76,199.0,69.0
77,199.0,69.0
78,198.0,73.0
79,198.0,81.0
80,195.0,97.0
81,192.0,123.0
82,191.0,148.0
83,190.0,154.0
84,190.0,161.0
85,192.0,168.0
86,194.0,177.0
87,194.0,205.0
88,193.0,220.0
89,192.0,222.0
90,192.0,222.0
91,192.0,222.0
92,192.0,222.0
93,192.0,222.0
94,192.0,221.0
95,189.0,211.0
96,188.0,203.0
97,188.0,199.0
98,188.0,196.0
99,187.0,193.0
100,185.0,191.0
101,183.0,189.0
102,182.0,189.0
103,181.0,188.0
104,169.0,185.0
105,137.0,182.0
106,118.0,175.0
107,110.0,166.0
108,107.0,157.0
109,105.0,150.0
110,105.0,149.0
111,105.0,149.0
112,105.0,148.0
113,105.0,146.0
114,105.0,143.0
115,104.0,140.0
116,97.0,137.0
117,96.0,137.0
118,96.0,137.0
119,96.0,137.0
120,96.0,137.0
121,95.0,138.0
122,95.0,138.0
123,96.0,138.0
124,96.0,139.0
125,97.0,141.0
126,98.0,142.0
127,98.0,142.0
128,98.0,142.0
129,98.0,142.0
130,98.0,143.0
131,99.0,147.0
132,100.0,152.0
133,100.0,153.0
134,100.0,155.0
135,101.0,157.0
136,101.0,161.0
137,127.0,168.0
138,127.0,167.0
139,127.0,167.0
140,127.0,167.0
141,105.0,190.0
142,105.0,190.0
143,105.0,190.0
144,105.0,193.0
145,107.0,196.0
146,109.0,200.0
147,109.0,200.0
148,110.0,201.0
149,110.0,201.0
150,110.0,203.0
151,108.0,212.0
152,108.0,213.0
153,108.0,217.0
154,109.0,218.0
155,112.0,221.0
156,114.0,227.0
157,116.0,230.0
158,119.0,235.0
159,119.0,235.0
160,123.0,241.0
161,123.0,241.0
162,123.0,241.0
163,123.0,242.0
164,125.0,246.0
165,129.0,252.0
166,129.0,252.0
167,129.0,252.0
168,129.0,253.0
